Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Absolute (rad/s)
0.008801625,0.045083731,-0.005618577,-0.063675515,0.078222008
0.018735625,0.044010211,0.016478203,-0.069037519,0.083514124
0.028669625,0.030789359,0.014222547,-0.063956514,0.072392687
0.038603625,0.011762937,-0.008266249,-0.051031128,0.053017672
0.048537625,0.00663205,-0.040471759,-0.034519915,0.053605707
0.058471625,0.002408278,-0.061205797,-0.016782196,0.063510562
0.068405625,-0.009150375,-0.059049435,-0.006591611,0.060116674
0.078339625,-0.02143953,-0.039346837,-0.011713401,0.046314477
0.088273625,-0.017137259,-0.027139414,-0.02376793,0.039939303
0.098207625,-0.007531503,-0.014230007,-0.03219657,0.035997719
0.108141625,0.002624067,-0.009333994,-0.0372326,0.038474351
0.118075625,0.003481339,-0.011082361,-0.035660539,0.037504833
0.128009542,0.001972545,-0.021783192,-0.020988775,0.03031381
0.137943542,-0.002170535,-0.031519178,-0.008889236,0.032820547
0.147877542,-0.002104883,-0.039859347,-0.008082558,0.040725003
0.157811542,0.000319659,-0.042009577,-0.010565423,0.04331899
0.167745542,0.005895115,-0.039084151,-0.017188709,0.043101914
0.177679542,0.011307457,-0.038683612,-0.0175256,0.043948004
0.187613542,0.014561716,-0.048453376,-0.015842255,0.053016509
0.197547542,0.015280237,-0.053688087,-0.008807248,0.056510741
0.207481542,0.013752767,-0.053635653,-0.007023382,0.055814423
0.217415542,0.014060361,-0.04958738,-0.003529048,0.051662909
0.227349542,0.011905253,-0.047076091,-0.00525634,0.048841811
0.237283542,0.010196569,-0.04385047,-0.010922481,0.04632639
0.247217542,0.008216873,-0.045037817,-0.008832808,0.046625535
0.257151542,0.006733226,-0.043145906,-0.00984188,0.044763469
0.267085542,0.004151355,-0.033270933,-0.008705779,0.034640717
0.277019542,-0.000533145,-0.022142384,-0.011810225,0.025100814
0.286953542,0.003700976,-0.017522767,-0.010575167,0.020798528
0.296887542,0.003789393,-0.010019576,-0.015549419,0.018882157
0.306821542,-0.002101155,-0.010153646,-0.011725496,0.015652432
0.316755542,-0.00689804,-0.01701235,-0.009837048,0.020827159
0.326689542,-0.006844915,-0.026012294,-0.006289192,0.027623291
0.336623542,-0.000563849,-0.035435088,-0.005458286,0.035857444
0.346557542,-0.002248077,-0.043448698,-0.005851706,0.043898584
