"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
6.447396250E-1,1.563724995E0,1.290002346E0,-8.717812896E-1,2.206659133E0
6.547076250E-1,1.338218689E0,1.341218829E0,-9.418066740E-1,2.115820649E0
6.646746250E-1,1.157220602E0,1.459954023E0,-1.109822989E0,2.168486186E0
6.746416250E-1,1.019434452E0,1.644721031E0,-1.284647346E0,2.322643467E0
6.846096250E-1,1.051208973E0,1.633334994E0,-1.297923684E0,2.336114166E0
6.945766250E-1,1.369237900E0,1.095281363E0,-1.076402187E0,2.057448750E0
7.045446250E-1,1.686936617E0,3.637411296E-1,-6.926406622E-1,1.859519789E0
7.145116250E-1,1.825690866E0,-2.725328207E-1,-2.551510632E-1,1.863470778E0
7.244786250E-1,1.757040262E0,-7.333449125E-1,1.688039601E-1,1.911407864E0
7.344466250E-1,1.548289061E0,-1.075674534E0,4.948188663E-1,1.949133251E0
7.444136250E-1,1.288009286E0,-1.357972264E0,6.845770478E-1,1.992913025E0
7.543816250E-1,1.059898019E0,-1.561677337E0,7.589747906E-1,2.034272019E0
7.643486250E-1,8.847586513E-1,-1.619649053E0,8.036266565E-1,2.012927402E0
7.743166250E-1,7.775062919E-1,-1.500514388E0,9.050180316E-1,1.917059493E0
7.842836250E-1,7.200347781E-1,-1.238224149E0,1.012932777E0,1.754332333E0
7.942506250E-1,6.710079312E-1,-8.746822476E-1,1.046433568E0,1.519981543E0
8.042186250E-1,5.988479853E-1,-4.728496373E-1,9.781777263E-1,1.240579442E0
8.141856250E-1,4.768116772E-1,-9.381701052E-2,8.387701511E-1,9.693742174E-1
8.241536250E-1,3.322276175E-1,2.256131768E-1,6.880006194E-1,7.966312495E-1
8.341206250E-1,2.245612592E-1,4.913634062E-1,5.922893286E-1,8.016685130E-1
8.440876250E-1,1.709440947E-1,7.078903913E-1,5.274365544E-1,8.991774066E-1
8.540556250E-1,1.661915779E-1,8.819627166E-1,4.839350879E-1,1.019642606E0
8.640226250E-1,1.785808653E-1,9.892670512E-1,5.013369918E-1,1.123333968E0
8.739906250E-1,2.010929585E-1,1.011038065E0,5.509709120E-1,1.168847848E0
8.839576250E-1,2.327307761E-1,9.431429505E-1,5.913492441E-1,1.137266973E0
8.939246250E-1,2.597698271E-1,8.547071815E-1,6.294726133E-1,1.092813113E0
9.038926250E-1,2.783661485E-1,7.853273153E-1,6.971451640E-1,1.086387631E0
9.138596250E-1,2.672243714E-1,7.356430888E-1,7.581874132E-1,1.089691595E0
9.238276250E-1,2.349420637E-1,6.856696606E-1,7.731788754E-1,1.059785936E0
9.337946250E-1,2.025087029E-1,6.416169405E-1,7.512266636E-1,1.008475866E0
9.437616250E-1,2.010128051E-1,6.072109938E-1,7.177760005E-1,9.614123598E-1
9.537296250E-1,2.368011475E-1,6.295692325E-1,6.640222073E-1,9.451760120E-1
9.636966250E-1,2.972722054E-1,7.304561734E-1,5.900414586E-1,9.849293925E-1
9.736646250E-1,3.763908744E-1,8.849514127E-1,4.765023291E-1,1.073249068E0
9.836316250E-1,4.678739309E-1,1.038898468E0,3.000564575E-1,1.178240179E0
9.935996250E-1,4.767626226E-1,1.166514277E0,-1.828896068E-2,1.260314502E0
1.003566625E0,3.035996258E-1,1.229166508E0,-4.917153716E-1,1.358236740E0
1.013533625E0,-1.342235208E-1,1.266751289E0,-9.474148750E-1,1.587535741E0
1.023501625E0,-1.002274513E0,1.595117092E0,-1.354351401E0,2.320176816E0
1.033468625E0,-1.882086635E0,1.778001308E0,-1.712677240E0,3.104319907E0
1.043436625E0,-2.363129139E0,1.556355238E0,-1.928010583E0,3.424010187E0
1.053403625E0,-2.577252865E0,1.190951347E0,-2.094853163E0,3.528315067E0
1.063370625E0,-2.674804449E0,8.595139980E-1,-2.253245354E0,3.601452176E0
1.073338625E0,-2.751080751E0,6.083687544E-1,-2.415655851E0,3.711327395E0
1.083305625E0,-2.796262503E0,4.845415950E-1,-2.587622404E0,3.840527861E0
1.093273625E0,-2.751488209E0,5.469966531E-1,-2.721297741E0,3.908369749E0
1.103240625E0,-2.593917131E0,7.651265860E-1,-2.807777405E0,3.898389248E0
1.113208625E0,-2.344404221E0,1.082829118E0,-2.898210049E0,3.881800038E0
1.123175625E0,-2.064988375E0,1.367318869E0,-2.929039478E0,3.835754182E0
1.133142625E0,-1.759399891E0,1.509263873E0,-2.846572876E0,3.671013832E0
1.143110625E0,-1.343441010E0,1.355913520E0,-2.585137367E0,3.213451482E0
1.153077625E0,-9.352429509E-1,1.019477487E0,-2.225815773E0,2.620738365E0
1.163045625E0,-4.826099575E-1,5.402984023E-1,-1.824284196E0,1.962867179E0
1.173012625E0,5.628763139E-2,1.235916279E-2,-1.473287344E0,1.474414000E0
1.182980625E0,5.893512368E-1,-5.143062472E-1,-1.263672709E0,1.486174456E0
1.192947625E0,8.667780757E-1,-8.684056997E-1,-1.246275067E0,1.748895147E0
1.202914625E0,2.938671410E-1,-5.161006451E-1,-1.509817958E0,1.622426590E0
