Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Absolute (rad/s)
1.015271542,-0.366885424,-0.284109294,0.270737499,0.537235329
1.025205542,-0.445467889,-0.347634435,0.315832496,0.647334153
1.035139542,-0.554383218,-0.413657129,0.376319557,0.787444844
1.045073542,-0.721320331,-0.427293986,0.428240687,0.941420871
1.055007542,-0.954845726,-0.338123381,0.447365373,1.107336245
1.064941542,-1.256767154,-0.168935776,0.421056122,1.336147908
1.074875542,-1.589064717,0.065916948,0.347661793,1.627986622
1.084809542,-1.926240563,0.421475828,0.189665511,1.980913322
1.094743542,-2.084545612,0.737746716,-0.007321327,2.211256256
1.104677542,-1.981323004,0.909709632,-0.207589358,2.190046986
1.114611542,-1.792523503,0.797718883,-0.374647617,1.997462581
1.124546542,-1.610786796,0.295496434,-0.493746758,1.710478911
1.134480542,-1.54236567,-0.265657157,-0.501440644,1.643444038
1.144414542,-1.605925679,-0.461362094,-0.492693067,1.742009967
1.154348542,-1.739356995,-0.327914298,-0.53483808,1.849038213
1.164282542,-1.785959959,-0.146209598,-0.503719509,1.861387538
1.174216542,-1.755390882,-0.072516464,-0.40006873,1.80186314
1.184150542,-1.758328915,-0.061184958,-0.318619162,1.788010722
1.194084542,-1.75972712,-0.071524948,-0.305821598,1.787535232
1.204018542,-1.705030799,-0.059461977,-0.349908531,1.74158024
1.213952542,-1.578230262,-0.02037769,-0.412821174,1.631455587
1.223886542,-1.418920159,-0.054112382,-0.474136293,1.497019637
1.233820542,-1.259495854,-0.148279369,-0.521411657,1.371198999
1.243754542,-1.09612,-0.251598895,-0.534696519,1.245263597
1.253689542,-0.964177907,-0.373643577,-0.506012976,1.151215744
1.263623542,-0.848620772,-0.535257757,-0.478433847,1.111556129
1.273557542,-0.7416991,-0.621049881,-0.437862694,1.061858864
1.283491542,-0.660827816,-0.666320741,-0.397000194,1.018963142
1.293425542,-0.588464141,-0.750524521,-0.378391623,1.02603963
1.303359542,-0.516476631,-0.809478343,-0.372360229,1.029881274
1.313293542,-0.447788388,-0.796273053,-0.366705537,0.984397361
1.323227542,-0.404032916,-0.690134585,-0.369293064,0.880855101
1.333161542,-0.414775819,-0.555568278,-0.34532249,0.77455969
1.343095542,-0.455924302,-0.438625157,-0.306197643,0.702862714
1.353029542,-0.485015869,-0.346227318,-0.252898216,0.647357132
1.362963542,-0.500687778,-0.248699337,-0.20661068,0.596009718
1.372897542,-0.502574086,-0.15942806,-0.202929124,0.564958625
1.382832542,-0.481410176,-0.071973488,-0.235739619,0.540841111
1.392766542,-0.480463415,0.009390877,-0.289281666,0.560907447
1.402700542,-0.510716856,0.025141243,-0.332451195,0.60990785
1.412634542,-0.52023524,-0.066572167,-0.370673656,0.64224257
1.422568542,-0.461778432,-0.169915468,-0.407308519,0.638757243
1.432502542,-0.382202387,-0.302385658,-0.426316053,0.647503766
1.442436542,-0.35010168,-0.426294833,-0.428831846,0.698709684
1.452370542,-0.422915697,-0.48127684,-0.392571837,0.751397186
1.462304542,-0.527717412,-0.566053987,-0.305414379,0.831973993
1.472238542,-0.603063285,-0.666097224,-0.244753435,0.93127605
1.482172542,-0.617361367,-0.782199264,-0.216329321,1.019690698
1.492106542,-0.566498697,-0.855716646,-0.203986898,1.046318501
1.502040542,-0.472016603,-0.869030356,-0.206498995,1.010274848
1.511975542,-0.354306728,-0.863001466,-0.216004878,0.957581795
1.521909542,-0.241278261,-0.845294774,-0.230434641,0.908756611
1.531843542,-0.158899218,-0.848716378,-0.251282424,0.899283775
1.541777542,-0.178375527,-0.867391527,-0.288362145,0.931310161
1.551711542,-0.242043182,-0.922921598,-0.325591534,1.00815625
1.561645542,-0.290987015,-1.087513089,-0.351839006,1.179469732
1.571579542,-0.331345886,-1.273186564,-0.359013557,1.363702628
1.581513542,-0.159144372,-1.175854683,-0.35804528,1.239418246
1.591447542,0.268035442,-0.86242342,-0.315338314,0.956585284
1.601381542,0.772320449,-0.776155114,-0.040544789,1.095691342
1.611315542,1.187681198,-0.747697353,0.269843966,1.429144404
1.621249542,1.142378449,-0.347169638,0.401681513,1.259723508
1.631183542,0.412453175,0.465446293,0.606006384,0.868332661
1.641118542,-0.217142284,0.921297431,0.730809391,1.195835312
1.651052542,-0.203212619,0.748786926,0.59693414,0.978931865
1.660986542,0.011866466,0.771478176,0.451257586,0.893841596
1.670920542,0.258520186,0.998653829,0.150671124,1.042518079
1.680854542,0.554981351,0.907061636,-0.175654784,1.077784633
1.690788542,1.028588295,0.8017658,-0.343591601,1.348657653
1.700722542,1.587940216,1.07344234,-0.290609211,1.938630006
1.710656542,2.213001728,1.704654932,-0.084793478,2.794711974
1.720590542,2.843738079,2.491111994,0.111521736,3.782184861
1.730524542,3.278074503,3.226183891,0.213761285,4.604316326
1.740458542,3.435001373,3.682691097,0.295374334,5.044669875
1.750392542,3.316993952,3.716352463,0.370672017,4.995109833
1.760326542,2.841746569,3.387877464,0.417279035,4.441549174
1.770261542,2.152464628,2.991134405,0.519880474,3.721594378
1.780195542,1.497324824,2.517944098,0.695493519,3.010935958
1.790129542,1.07228756,1.717703104,0.860081911,2.200010331
1.800063542,0.878727257,0.73747772,0.898196876,1.456980648
1.809997542,0.883871675,-0.236497283,0.805475175,1.218995636
1.819931542,0.981373668,-1.070976019,0.616235018,1.57791936
1.829865542,1.139219284,-1.538783431,0.372426122,1.950481028
1.839799542,1.328107834,-1.628172159,0.131813541,2.105276658
1.849733542,1.530578852,-1.352896452,-0.032447569,2.043049993
1.859667542,1.648133516,-0.847214639,-0.076961659,1.854734436
1.869601542,1.664555192,-0.2909922,-0.038100809,1.690228422
1.879535542,1.608136654,0.136887118,-0.013317547,1.614007106
1.889469542,1.548234224,0.477372527,-0.038371768,1.620612889
1.899403542,1.546974182,0.639242351,-0.106912747,1.67725676
1.909338542,1.582308888,0.560387254,-0.137946025,1.684269693
1.919272542,1.632126927,0.460601091,-0.027953597,1.696105267
1.929206875,1.618253469,0.491849571,0.116115429,1.695329787
1.939140875,1.554149747,0.649097204,0.226227328,1.699378539
1.949074875,1.495118141,0.796269298,0.322328806,1.724331438
1.959008875,1.431380033,0.884140372,0.391009301,1.7272641
1.968942875,1.38055706,0.896104872,0.416277379,1.697712754
1.978876875,1.329204559,0.886496663,0.411454469,1.649835105
1.988810875,1.270471692,0.814981759,0.409159362,1.563874986
1.998744875,1.234533191,0.627190948,0.387994021,1.438047302
2.008678875,1.249460459,0.353884071,0.374274462,1.351468367
2.018612875,1.275438309,0.106948353,0.377775401,1.334501811
2.028547875,1.241998553,-0.001452961,0.39760983,1.304092057
2.038481875,1.130434871,0.05253556,0.441015005,1.21455227
2.048415875,1.008998632,0.217219323,0.481880426,1.139065942
2.058349875,0.930002034,0.364955306,0.485335529,1.110696508
2.068283875,0.880751431,0.446379066,0.465921372,1.091815039
2.078217875,0.823484004,0.524080157,0.436963737,1.069449963
2.088151875,0.747331977,0.6250723,0.413253099,1.058299857
2.098085875,0.679396093,0.741793573,0.391399235,1.079365608
2.108019875,0.61780566,0.843595862,0.359180063,1.105598539
2.117953875,0.513041437,0.937841058,0.338443995,1.121294655
2.127887875,0.316356659,0.975836873,0.346897691,1.082902187
2.137821875,-0.001730462,1.041212559,0.356889397,1.100680076
2.147755875,-0.110373586,0.818825066,0.288789153,0.875246247
2.157689875,-0.064146012,0.582911193,0.165347263,0.609294582
2.167624875,0.026303196,0.502517819,-0.005086249,0.503231445
2.177558875,0.020135242,0.610715151,-0.161090225,0.631924429
2.187492875,-0.147890791,0.718784094,-0.262172908,0.779266895
2.197426875,-0.439927667,0.666705787,-0.321750343,0.861136599
2.207360875,-0.722860515,0.457655102,-0.337635547,0.919768057
2.217294875,-0.920523942,0.104529932,-0.333488822,0.984634769
2.227228875,-1.122282147,-0.256920964,-0.431615651,1.22955995
2.237162875,-1.397829056,-0.473219395,-0.56874454,1.581560311
2.247096875,-1.834715605,-0.433308989,-0.679694474,2.003976698
2.257030875,-2.351778269,-0.359980196,-0.683316708,2.475352195
2.266964875,-2.797942638,-0.546117306,-0.62002033,2.917387929
2.276898875,-3.12503767,-0.923533201,-0.576068044,3.309173372
2.286832875,-3.376487494,-1.212254047,-0.535857499,3.627309048
2.296766875,-3.529867411,-1.174448967,-0.513823748,3.755437279
2.306701875,-3.530216217,-0.916994452,-0.478848428,3.678668398
2.316635875,-3.413511038,-0.458130538,-0.421680152,3.46983506
2.326569875,-3.222591162,0.206938535,-0.306351185,3.243727547
2.336503875,-2.962292433,0.829304457,-0.129367948,3.078905391
2.346437875,-2.65929842,1.227498412,0.030862471,2.929090803
2.356371875,-2.429442883,1.401873589,0.101988159,2.806749697
2.366305875,-2.317738533,1.265048862,0.043416191,2.640860749
2.376239875,-2.265730619,0.909528792,-0.072987348,2.442561159
